id;id_cliente;nombre;descripcion;direccion;tipo_cliente_id;pais_id
1;Card;transform;generating enterprise Surinam;Entrada virtual;1;1
2;medición Seguro Mejo;Joyería;Fantástico Central Usabilidad;initiatives transmitter synthesize;2;2
3;digital;Queso;driver;Ringgit payment Rojo;3;3
4;Blanco Central index;navigate tangible;Rústico Cambridgeshire red;invoice;4;4
5;Negro East;Loan facilitate Pelota;calculating online;Pollo;5;5
6;Cambridgeshire depos;Coche Account;bandwidth;synergize focus;6;6
7;Investment Atún Técn;Director;Cine Chalet payment;Mesa Ensalada Loan;7;7
8;Ingeniero Seguridada;Arquitecto vertical;Bicicleta bypassing;evolve;8;8
9;HTTP Administrador;paralelismo Granito;calculating card invoice;eyeballs Interacciones;9;9
10;capacitor Agente Tri;Account Cambridgeshire 24/7;interface Pequeño next-generation;bus;10;10
